"site","habitat_type","species","replicate","height_cm","leaf_area_cm2","biomass_g","chlorophyll_content","soil_moisture","soil_ph","temperature_C","light_intensity","nitrogen_ppm","phosphorus_ppm","potassium_ppm","growth_rate_cm_week"
"A","forest","species1","1",61.96,50.11,13.91,37.84,0.666,6.02,23.21,266,54.29,25.77,39.07,4.312
"B","forest","species1","1",59.39,55.16,14.16,46.34,0.648,6.13,19.43,207.7,37.03,12.72,28.3,2.637
"C","forest","species1","1",58.42,49.73,7.96,46.96,0.488,5.26,19.81,50,39.39,22.75,31.46,5.382
"D","forest","species1","1",49.27,33.24,13.2,46.48,0.678,5.9,17.13,280.2,29.04,17.33,31.14,2.741
"A","grassland","species1","1",62.15,55.24,20.23,39.93,0.428,6.61,23,809.5,41.31,23.14,26.77,2.631
"B","grassland","species1","1",52.53,45.9,12.38,41.7,0.305,5.49,21.22,538.9,36.96,15.5,26.59,2.46
"C","grassland","species1","1",42.13,42.13,14.74,39.74,0.35,5.83,17.45,507.3,24.9,6.89,25.89,1.41
"D","grassland","species1","1",50.27,35.81,17.07,42.91,0.449,6.15,20.06,746.2,23.01,12.43,36.67,5.131
"A","wetland","species1","1",54.18,31.55,5.38,33.35,0.916,6.55,22.91,412.1,45.77,21.99,30.64,6.507
"B","wetland","species1","1",42.55,33.19,10.65,39.19,0.782,5.66,21.09,308.1,27.67,10.88,36.5,4.722
"C","wetland","species1","1",39.61,34.72,5.88,38.38,0.781,5.57,18.13,467.4,38.3,18.45,31.24,3.129
"D","wetland","species1","1",45.01,51.6,8.73,39.13,0.846,6.52,18.93,344.9,33.4,13.64,33.77,5.674
"A","forest","species2","1",69.12,54.6,14.83,49.3,0.649,6.12,22.25,325.3,50.22,27.54,34.81,4.339
"B","forest","species2","1",63.32,54.93,8.54,51.05,0.711,6.08,20.2,50,48.78,18.56,31.47,3.105
"C","forest","species2","1",62.8,49.41,18.73,51.77,0.546,6.21,18.04,79.1,40.16,20.82,36.01,3.263
"D","forest","species2","1",65.45,73.92,10.14,50.19,0.601,5.88,19.01,208.4,26.48,13.71,38.05,4.415
"A","grassland","species2","1",62.44,63.34,16.36,40.98,0.414,6.35,22.09,798.8,30.51,11.82,29.68,3.114
"B","grassland","species2","1",50.44,38.03,1.92,46.55,0.401,5.96,20.76,562.4,31.78,13.2,27.46,3.61
"C","grassland","species2","1",45.81,35.38,7.91,43.25,0.342,5.28,18.29,545.3,15.34,7.55,30.92,2.009
"D","grassland","species2","1",70.08,55.85,14.86,41.05,0.373,5.94,19.98,603.6,27.81,15.28,27.52,2.182
"A","wetland","species2","1",62.67,51.27,10.68,43.98,0.81,6.97,23.1,405.5,40.68,21.3,24.88,7.328
"B","wetland","species2","1",49.55,33.99,9.79,46.42,0.855,6.55,19.69,280.5,37.81,15.15,32.41,2.142
"C","wetland","species2","1",44.8,36.64,14.69,42.31,0.775,5.8,19.77,344.5,47.79,27.37,34.55,4.648
"D","wetland","species2","1",57.3,38.88,15.55,44.34,0.785,5.43,19.5,319.2,27.7,12.89,33.32,5.476
"A","forest","species3","1",62.53,39.06,9.99,53.72,0.657,6.62,24.11,119.8,44.41,21.2,36.31,6.229
"B","forest","species3","1",48.76,47.05,9.42,54.24,0.588,5.56,19.34,131.4,61.79,32.18,29.59,4.93
"C","forest","species3","1",53.87,49.67,11.27,58.4,0.533,5.68,19.22,161.6,43.96,22.2,27.99,2.429
"D","forest","species3","1",53.88,37.43,9.87,54.06,0.607,5.71,20.88,228.7,36.54,19.88,33.57,4.879
"A","grassland","species3","1",57.92,59.07,12.12,52.07,0.429,6.27,22.81,604.8,28.29,15.48,27.01,7.627
"B","grassland","species3","1",43.32,32.73,7.68,48.24,0.426,5.99,20.01,705,40.84,19.28,38.43,5.498
"C","grassland","species3","1",48.51,35.97,21.11,50.62,0.281,5.48,19.72,658.3,30.74,15.61,29.34,0.488
"D","grassland","species3","1",48.62,29.36,11.9,56.96,0.432,6.3,19.94,702.9,24.37,11.95,36.43,4.975
"A","wetland","species3","1",51.45,40.92,13.89,50.09,0.906,5.88,22.68,452.1,48.33,27.78,41.6,5.641
"B","wetland","species3","1",42.49,32.63,6.05,52.99,0.793,6.18,22.91,465.8,38.98,18.01,34.08,2.709
"C","wetland","species3","1",31.85,26.16,7.64,51.92,0.751,5.47,17.07,421.1,33.64,18.27,26.51,1.545
"D","wetland","species3","1",42.16,38.18,10.31,48.95,0.763,6.23,19.46,599.6,33.66,17.57,27.95,3.02
